UW,W,SAT,Rank,Admit
3.93,4.4,1600,0.92,1
3.99,4.47,1600,0.9,1
4,4.3,1600,0.98,1
3.8,4.5,1600,0.96,1
3.87,4.27,1550,0.92,1
4,4.33,1360,0.92,1
3.8,4.6,1580,0.9,1
3.94,4.3,1560,0.97,1
3.95,4.37,1480,0.92,1
3.94,4.4,1520,0.92,1
4,4.7,1530,1,1
3.8,4.4,1340,0.75,1
4,4.6,1550,0.98,1
4,4.3,1430,1,1
4,4.3,1600,0.99,1
4,4.7,1500,1,1
4,4.5,1480,0.97,1
4,4.56,1390,1,1
3.8,4.5,1570,0.9,1
4,4.2,1600,0.9,1
3.72,4.6,1430,0.9,1
3.98,4.57,1560,0.92,1
3.7,4.5,1430,0.75,1
4,4.3,1530,1,1
4,4.54,1420,1,1
3.9,4.2,1300,0.75,1
3.9,4,1360,0.89,1
3.87,4.15,1490,0.92,1
4,4.7,1450,0.94,1
3.99,4.42,1500,0.99,1
3.7,3.7,1260,0.92,1
3.63,4.36,1600,0.98,1
3.83,4.2,1170,0.97,1
3.95,3.95,1200,0.9,1
3.97,4.27,1490,0.92,1
3.5,4,1500,0.99,1
4,5,1530,0.9,1
4,4.25,1510,0.99,1
4,4.27,1570,1,1
3.7,4.3,1460,0.9,1
4,4.5,1550,0.92,1
3.9,4.89,1580,0.99,1
4,4.5,1460,0.92,1
4,4.6,1470,1,1
3.9,4.2,1540,0.97,1
3.8,4.5,1400,0.97,1
4,4.4,1300,0.75,1
4,4.4,1600,1,1
4,4.26,1500,0.99,0
3.6,4.2,1550,0.9,0
2.5,2.5,1200,0.5,0
3.98,4.5,1490,0.98,0
4,4.3,1550,0.9,0
4,4.35,1600,0.9,0
3.85,4.49,1520,0.98,0
4,4.38,1420,0.9,0
3.9,4.38,1560,0.92,0
4,4.3,1500,0.9,0
4,4.57,1480,1,0
4,5,1550,0.98,0
3.98,4.26,1340,0.94,0
3.99,3.99,1410,0.9,0
4,4.92,1560,1,0
4,4,1130,0.98,0
4,4.46,1570,0.99,0
3.96,4.38,1510,0.9,0
3.7,3.7,1470,0.76,0
3.86,4.14,1490,0.87,0
4,4.76,1380,1,0
3.9,4.1,1300,0.94,0
4,5,1500,0.95,0
